agent_name,run_number,states_explored,solution_found,path_cost
BFSAgent,1,1071,True,31
DFSAgent,1,6222,True,723
DLSAgent,1,2982,False,
UniformCostAgent,1,1151,True,31
BFSAgent,2,1112,True,28
DFSAgent,2,7494,True,334
DLSAgent,2,3394,True,228
UniformCostAgent,2,1215,True,28
BFSAgent,3,9187,True,167
DFSAgent,3,3844,True,1335
DLSAgent,3,2818,False,
UniformCostAgent,3,9194,True,167
BFSAgent,4,2481,True,39
DFSAgent,4,1292,True,733
DLSAgent,4,4864,True,217
UniformCostAgent,4,2605,True,39
BFSAgent,5,4276,True,72
DFSAgent,5,2163,True,1020
DLSAgent,5,2897,True,236
UniformCostAgent,5,4372,True,72
BFSAgent,6,2759,True,40
DFSAgent,6,2687,True,506
DLSAgent,6,277,True,250
UniformCostAgent,6,2825,True,40
BFSAgent,7,3139,True,75
DFSAgent,7,8219,True,493
DLSAgent,7,869,True,237
UniformCostAgent,7,3208,True,75
BFSAgent,8,8592,True,131
DFSAgent,8,3015,True,537
DLSAgent,8,3304,False,
UniformCostAgent,8,8597,True,131
BFSAgent,9,8883,True,112
DFSAgent,9,5091,True,674
DLSAgent,9,4219,False,
UniformCostAgent,9,8906,True,112
BFSAgent,10,17,True,4
DFSAgent,10,262,True,202
DLSAgent,10,262,True,202
UniformCostAgent,10,26,True,4
BFSAgent,11,4007,True,64
DFSAgent,11,3715,True,994
DLSAgent,11,4119,True,250
UniformCostAgent,11,4114,True,64
BFSAgent,12,135,True,9
DFSAgent,12,9,True,9
DLSAgent,12,9,True,9
UniformCostAgent,12,162,True,9
BFSAgent,13,4709,True,84
DFSAgent,13,7910,True,740
DLSAgent,13,2727,True,214
UniformCostAgent,13,4835,True,84
BFSAgent,14,1977,True,45
DFSAgent,14,902,True,759
DLSAgent,14,2877,False,
UniformCostAgent,14,2061,True,45
BFSAgent,15,3584,True,45
DFSAgent,15,3671,True,795
DLSAgent,15,2102,True,111
UniformCostAgent,15,3734,True,45
BFSAgent,16,3305,True,45
DFSAgent,16,167,True,167
DLSAgent,16,167,True,167
UniformCostAgent,16,3436,True,45
BFSAgent,17,3894,True,61
DFSAgent,17,3008,True,1107
DLSAgent,17,3429,False,
UniformCostAgent,17,4048,True,61
BFSAgent,18,1841,True,39
DFSAgent,18,67,True,67
DLSAgent,18,67,True,67
UniformCostAgent,18,1871,True,39
BFSAgent,19,702,True,21
DFSAgent,19,1148,True,1013
DLSAgent,19,2814,True,249
UniformCostAgent,19,821,True,21
BFSAgent,20,1780,True,32
DFSAgent,20,4782,True,388
DLSAgent,20,1608,True,180
UniformCostAgent,20,1837,True,32
BFSAgent,21,3156,True,54
DFSAgent,21,753,True,596
DLSAgent,21,1332,True,246
UniformCostAgent,21,3168,True,54
BFSAgent,22,8709,True,131
DFSAgent,22,1603,True,1517
DLSAgent,22,3331,False,
UniformCostAgent,22,8738,True,131
BFSAgent,23,2816,True,51
DFSAgent,23,2892,True,1937
DLSAgent,23,3727,False,
UniformCostAgent,23,2872,True,51
BFSAgent,24,8217,True,114
DFSAgent,24,4079,True,2154
DLSAgent,24,4539,False,
UniformCostAgent,24,8251,True,114
BFSAgent,25,1043,True,31
DFSAgent,25,241,True,241
DLSAgent,25,241,True,241
UniformCostAgent,25,1122,True,31
BFSAgent,26,8858,True,143
DFSAgent,26,2463,True,1311
DLSAgent,26,3227,False,
UniformCostAgent,26,8883,True,143
BFSAgent,27,876,True,27
DFSAgent,27,336,True,133
DLSAgent,27,336,True,133
UniformCostAgent,27,943,True,27
BFSAgent,28,6978,True,85
DFSAgent,28,735,True,729
DLSAgent,28,3978,False,
UniformCostAgent,28,7091,True,85
BFSAgent,29,2840,True,41
DFSAgent,29,6311,True,389
DLSAgent,29,3010,True,65
UniformCostAgent,29,2920,True,41
BFSAgent,30,2568,True,59
DFSAgent,30,7704,True,709
DLSAgent,30,2756,True,225
UniformCostAgent,30,2615,True,59
