agent_name,run_number,states_explored,solution_found,path_cost
BFSAgent,1,6784,True,73
DFSAgent,1,2209,True,1445
DLSAgent,1,3861,True,235
UniformCostAgent,1,6842,True,73
AStarAgent,1,73,True,73
BFSAgent,2,8463,True,89
DFSAgent,2,4230,True,1755
DLSAgent,2,5196,False,
UniformCostAgent,2,8494,True,89
AStarAgent,2,137,True,89
BFSAgent,3,8103,True,125
DFSAgent,3,605,True,603
DLSAgent,3,3346,False,
UniformCostAgent,3,8146,True,125
AStarAgent,3,290,True,125
BFSAgent,4,2500,True,39
DFSAgent,4,39,True,39
DLSAgent,4,39,True,39
UniformCostAgent,4,2557,True,39
AStarAgent,4,39,True,39
BFSAgent,5,8604,True,139
DFSAgent,5,1116,True,1101
DLSAgent,5,4433,False,
UniformCostAgent,5,8651,True,139
AStarAgent,5,192,True,139
BFSAgent,6,8662,True,139
DFSAgent,6,901,True,891
DLSAgent,6,3944,False,
UniformCostAgent,6,8691,True,139
AStarAgent,6,467,True,139
BFSAgent,7,8397,True,126
DFSAgent,7,3824,True,844
DLSAgent,7,4136,False,
UniformCostAgent,7,8409,True,126
AStarAgent,7,168,True,126
BFSAgent,8,7949,True,85
DFSAgent,8,509,True,503
DLSAgent,8,2450,True,245
UniformCostAgent,8,8010,True,85
AStarAgent,8,96,True,85
BFSAgent,9,4293,True,50
DFSAgent,9,3105,True,554
DLSAgent,9,371,True,250
UniformCostAgent,9,4468,True,50
AStarAgent,9,95,True,50
BFSAgent,10,3603,True,58
DFSAgent,10,1781,True,1356
DLSAgent,10,2359,False,
UniformCostAgent,10,3730,True,58
AStarAgent,10,180,True,58
BFSAgent,11,3649,True,49
DFSAgent,11,3881,True,1165
DLSAgent,11,5241,True,219
UniformCostAgent,11,3835,True,49
AStarAgent,11,75,True,49
BFSAgent,12,6966,True,103
DFSAgent,12,636,True,633
DLSAgent,12,3137,False,
UniformCostAgent,12,7099,True,103
AStarAgent,12,126,True,103
BFSAgent,13,895,True,32
DFSAgent,13,318,True,302
DLSAgent,13,865,True,218
UniformCostAgent,13,949,True,32
AStarAgent,13,32,True,32
BFSAgent,14,4639,True,71
DFSAgent,14,3789,True,1363
DLSAgent,14,2868,False,
UniformCostAgent,14,4731,True,71
AStarAgent,14,177,True,71
BFSAgent,15,5367,True,75
DFSAgent,15,381,True,379
DLSAgent,15,712,True,249
UniformCostAgent,15,5425,True,75
AStarAgent,15,77,True,75
BFSAgent,16,596,True,20
DFSAgent,16,2920,True,1132
DLSAgent,16,2746,True,250
UniformCostAgent,16,695,True,20
AStarAgent,16,26,True,20
BFSAgent,17,7422,True,103
DFSAgent,17,1552,True,641
DLSAgent,17,1530,True,249
UniformCostAgent,17,7466,True,103
AStarAgent,17,239,True,103
BFSAgent,18,4422,True,69
DFSAgent,18,7629,True,1025
DLSAgent,18,3826,True,249
UniformCostAgent,18,4558,True,69
AStarAgent,18,69,True,69
BFSAgent,19,3624,True,65
DFSAgent,19,4378,True,545
DLSAgent,19,1699,True,213
UniformCostAgent,19,3724,True,65
AStarAgent,19,111,True,65
BFSAgent,20,6150,True,72
DFSAgent,20,3298,True,2490
DLSAgent,20,4445,False,
UniformCostAgent,20,6254,True,72
AStarAgent,20,225,True,72
BFSAgent,21,5877,True,90
DFSAgent,21,1726,True,992
DLSAgent,21,2124,True,232
UniformCostAgent,21,5915,True,90
AStarAgent,21,95,True,90
BFSAgent,22,1610,True,41
DFSAgent,22,7791,True,729
DLSAgent,22,2706,True,241
UniformCostAgent,22,1664,True,41
AStarAgent,22,41,True,41
BFSAgent,23,1923,True,49
DFSAgent,23,1312,True,1101
DLSAgent,23,3728,True,177
UniformCostAgent,23,1948,True,49
AStarAgent,23,72,True,49
BFSAgent,24,7632,True,110
DFSAgent,24,5506,True,488
DLSAgent,24,2453,True,236
UniformCostAgent,24,7731,True,110
AStarAgent,24,111,True,110
BFSAgent,25,6426,True,72
DFSAgent,25,74,True,74
DLSAgent,25,74,True,74
UniformCostAgent,25,6545,True,72
AStarAgent,25,121,True,72
BFSAgent,26,6412,True,93
DFSAgent,26,4683,True,801
DLSAgent,26,3634,False,
UniformCostAgent,26,6487,True,93
AStarAgent,26,150,True,93
BFSAgent,27,3269,True,47
DFSAgent,27,2524,True,1471
DLSAgent,27,4029,False,
UniformCostAgent,27,3413,True,47
AStarAgent,27,56,True,47
BFSAgent,28,8660,True,128
DFSAgent,28,1861,True,998
DLSAgent,28,3144,False,
UniformCostAgent,28,8703,True,128
AStarAgent,28,410,True,128
BFSAgent,29,744,True,23
DFSAgent,29,4214,True,577
DLSAgent,29,2210,True,247
UniformCostAgent,29,778,True,23
AStarAgent,29,27,True,23
BFSAgent,30,360,True,15
DFSAgent,30,8895,True,219
DLSAgent,30,1467,True,219
UniformCostAgent,30,378,True,15
AStarAgent,30,16,True,15
